match_id,puuid,championId,championName,teamId,teamPosition,individualPosition,win
NA1_5550304472,UL3qXsy63hmThQw39LTtPWK2JI316v5jHX8r_yw5g9A873ElH_KqU7yqFwDTr9ykmbjJyyPz150IYA,235,Senna,100,UTILITY,UTILITY,False
NA1_5550304472,o9UXKEi4u2kwH6F9UJVxFy8x6Jbi2tXl3Y5sFmPaDBR8UseWrTpFpwzfOe2zlVJHtfCuekKhnl7PHA,89,Leona,200,UTILITY,UTILITY,True
NA1_5545162641,iAPisvb-m-cDkpVmzVJtNKdNjTwoIgk-PkKIvRQScvPeed3EFtl80eu7t7HLMqxT-02rGH0KKCBYEw,53,Blitzcrank,100,UTILITY,UTILITY,True
NA1_5545162641,z47LTXaQxM72C5dDdLwpdhuZJVDjcmnqkjE11WKKhqtDPxN6sCOfXcvoiWd7boyHm4mPPRVKXyQEVg,26,Zilean,200,UTILITY,UTILITY,False
NA1_5530609519,Kj3raKvthe46haxKC6N2LOpUK8_VxgOyRUo48bufObv60ihYKBfcifmEArUBygKvFW9lg8liGRYdig,22,Ashe,100,UTILITY,UTILITY,True
NA1_5530609519,LkD9mUW8W5xEDss269mnh1dmIhdsc-kwm3JB7B_YU8bunWSDMar9cVyaeLlrxaNsKOMdzYePViOZjA,50,Swain,200,UTILITY,UTILITY,False
NA1_5530552256,YGIe4YJJm9C8UxGgFnMxB0R28D8eoq7sZd4_7LScRtXGW0bHDMcUuBVvCuwk2ZDTSoc4NT8BiW0gRA,223,TahmKench,100,UTILITY,UTILITY,False
NA1_5530552256,vlZi8mpfS47IqAtxbXCjLUWUq9HZqzumvz1fZQ-sYeYxUnxS6JeIqyGRlO9YXEFTmB-R7ArWN-hXaw,50,Swain,200,UTILITY,UTILITY,True
NA1_5530519318,05ULVbcqTZ6gRRf_HohaNzkVKlnpa-_X1vScIiIOc2pReRoxPXELsq1Zfef21s2ZIe9t5LgfnP-deg,161,Velkoz,100,UTILITY,UTILITY,True
NA1_5530519318,JX2dXFlJi6A2-ZC3Cbzrk6OrAVex80DXcZUIv0oFVxaqlX9MHpWOUdDyyBPydCiNTwpMn4G0FCcFCA,25,Morgana,200,UTILITY,UTILITY,False
NA1_5530453631,cIwprJDDEOWED9M8xdJGihtlVEuGU-Ky_6EFb3dIOmEIWCJkFTYTOQroTGlTeIa3XD8_FaWsDlwruQ,16,Soraka,100,UTILITY,UTILITY,False
NA1_5530453631,SbsffKPsM0ounHImybK0OBVPgFxCabWGWjrCiSTM8L072OjA-MDaV8M-5n9towY26lnrX0I6dqse7g,800,Mel,200,UTILITY,UTILITY,True
NA1_5528323288,kPyS8LqNGZLROI2RBiAmFuHfGdfyZdpbgrRvDDJlsPtEE7J8GFqc8X9XHM9gBueMkzuI3qqTiaRkrQ,350,Yuumi,100,UTILITY,UTILITY,True
NA1_5528323288,gFsKf5Qh4rBOY__MJFf-y8FGeHJbOBpwpUcYmgqaqr9xHJ8cqTnpcyke87fjtz8thkkLWTg4Xh-Krw,99,Lux,200,UTILITY,UTILITY,False
NA1_5528261632,N4Ucbvt6qdeoH1VfJaBsj7EuN0GGyWMQ8KMoe93778iJftdIrPCnMBZ1pTuVx2SqdaSX2CG6NVnUOw,63,Brand,100,UTILITY,UTILITY,False
NA1_5528261632,_Nr1xAnhoVXUOFWGdTnFhtqN0a7-pGUwJR4Fp_EaiktKxtle7tpWmSSALx9BzYBZJtCZUVsz7XTC6g,902,Milio,200,UTILITY,UTILITY,True
NA1_5528205654,ab4PmhAyEpvzEw51aPVlwgTOu_IcmlozwTx_T69q-v6pK94kF5fHSC5CVfF3CCJEXt29E0vq8XxkkA,432,Bard,100,UTILITY,UTILITY,True
NA1_5528205654,VD2cNNSwB-bysHQSrZN2UFRe1TclyH1YHnCiDcl580bTCOiJsZlNAV5hyRp64HQxryZ9GH1upZX5hA,201,Braum,200,UTILITY,UTILITY,False
NA1_5528156361,T9s3zc9-XYqvtsLSMhOQMg3oefcYHVe44CNz32dwOtyXCRrcG7bT9-cCI_k-2PLKDYjOYrwEDPJa6g,78,Poppy,100,UTILITY,UTILITY,False
NA1_5528156361,PB1X-4cLlhscH2Eefb_YwHYqWlxTpCRDhrYJAjXeopNAIxyh9abZUX6Lc7QvLBtyykBumeZX0ZEVTw,161,Velkoz,200,UTILITY,UTILITY,True
NA1_5525403007,Z_YMUflMm9sEKm__c6-o_Ft-sHDjZnJCPTymduHQLIfMCRKre50Ww_wM__GTurZ4EW6_bBd6lH8dRg,902,Milio,100,UTILITY,UTILITY,True
NA1_5525403007,Q5tPr4VoHQO40KOqRSjQMkb10Uw1uFX62YNk0ZJNYLR4F3k5hRus6RZxNDNbblocQhEc4or40vRRtA,22,Ashe,200,UTILITY,UTILITY,False
NA1_5525353826,Q5tPr4VoHQO40KOqRSjQMkb10Uw1uFX62YNk0ZJNYLR4F3k5hRus6RZxNDNbblocQhEc4or40vRRtA,235,Senna,100,UTILITY,UTILITY,False
NA1_5525353826,aR4kX2Lsqjbrp1WRsnNKQIJurl1i2wXmefHKCNK2QjuMno3yVRR1KpYDeK7OZ8EBcNT6WlhkUgU6AA,518,Neeko,200,UTILITY,UTILITY,True
NA1_5483045052,YLh5UkabtUMR6xsxYSZGpFmJM1irrKUoXAWonAwUEtN7gflEi-PfmP3icQksXp9jqW6VftQOx0i--A,555,Pyke,100,UTILITY,UTILITY,False
NA1_5483045052,LHuwAl080Z_R4MDfglJoKvh82Ln6GQRWwWeCf8eGq9CSZaiOI7h-cSphPkjCPQMx0-LfO_I1nWvMkA,25,Morgana,200,UTILITY,UTILITY,True
NA1_5483008437,mmRusI-lOFBGXfz0WWKeQNqHQ7mKr-TFgghKAdZARUIwQJ9juLIbLBMfA8xUynj-S9iIlYF91R-fOA,800,Mel,100,UTILITY,UTILITY,True
NA1_5483008437,IR_STaPiJAFMs7owMcl3CvKxPyXcVZdxQY0m-JpVBcr_9L3NMPYLIPgZZcvFjUI8uRYcGEHzVCXiVA,117,Lulu,200,UTILITY,UTILITY,False
NA1_5469494432,Q5tPr4VoHQO40KOqRSjQMkb10Uw1uFX62YNk0ZJNYLR4F3k5hRus6RZxNDNbblocQhEc4or40vRRtA,235,Senna,100,UTILITY,UTILITY,False
NA1_5469494432,xwHgS_-h92x_JotnFDrf1XctgGhy0HaK4K_AyAHBKfreeUKbHPBLY0_37qxOnk9_SmWotkHUaAaOiQ,78,Poppy,200,UTILITY,UTILITY,True
NA1_5469432787,Q5tPr4VoHQO40KOqRSjQMkb10Uw1uFX62YNk0ZJNYLR4F3k5hRus6RZxNDNbblocQhEc4or40vRRtA,89,Leona,100,UTILITY,UTILITY,False
NA1_5469432787,BoAZi1wl6Hl2D3IJqXk6vvLfBSjRo8Ln_WA11hIxFop9uNF4bg31cYYMk-HZe77mQRII0BOaD8iXLA,25,Morgana,200,UTILITY,UTILITY,True
NA1_5469356601,vukcZBWBQquN7tL-CQrOZaGpm9p22jLqyG1Y5q3V46cb7c_UXlMLt0_uuR1pkvluvDdeqAaOteR_ng,80,Pantheon,100,UTILITY,UTILITY,False
NA1_5469356601,Q5tPr4VoHQO40KOqRSjQMkb10Uw1uFX62YNk0ZJNYLR4F3k5hRus6RZxNDNbblocQhEc4or40vRRtA,22,Ashe,200,UTILITY,UTILITY,True
NA1_5463906073,tuLhFZNRLQkacBGBC1Yt5KCsLef9d0lCLG1_WpwieU5TAXSDmCYVEe6bUn8XxBzS5cUkoklsbpplrg,143,Zyra,100,UTILITY,UTILITY,False
NA1_5463906073,akvPY3oG_w-jSOqLxjrclUnlY3A00u54PXnE1HfsMDdron0fNLresqVWOVguRq-HqEViGVnaYicbpQ,43,Karma,200,UTILITY,UTILITY,True
NA1_5462976501,BR-NxmLH_c4Z8Az6nQSCwRamq7YAI_DL9p7egVDQzHQZrV-DWcErkQePBLqO88LR-n6yubQeRUWD2Q,16,Soraka,100,UTILITY,UTILITY,True
NA1_5462976501,-i1GSVpHlTGg3zBF-8kcNoevK5bTdZxV0mH5PQJW1FfqZaM4t7a6O1yG9f0gVLoGm5B4For-qcT_wA,40,Janna,200,UTILITY,UTILITY,False
NA1_5462935184,8aRIajnIho7dqeeBahp3Gd_i5tHpvvqa8spEJSI6zdk91OAonmEuUrhj9VtHkPi11rpPOvRbf5L2CA,16,Soraka,100,UTILITY,UTILITY,False
